x,y,type,cone,saturation,n.s.,white,red,green,blue,yellow
63,98,2,1,0,2,23,0,0,15,0
69,100,3,2,0,1,23,6,0,10,0
62,82,2,3,0,0,31,4,0,5,0
63,77,3,4,0,0,31,6,0,3,0
67,71,3,5,0,1,11,8,0,0,0
75,72,2,7,0,2,10,1,0,7,0
68,94,3,8,0,3,12,5,0,0,0
70,87,3,9,0,6,13,1,0,0,0
75,92,2,11,0,2,11,3,0,4,0
78,86,3,12,0,1,7,1,0,11,0
84,95,3,13,0,0,4,16,0,0,0
75,101,3,14,0,1,11,8,0,0,0
81,107,2,15,0,0,15,0,0,5,0
75,113,3,17,0,4,17,0,0,29,0
67,109,2,18,0,30,35,0,0,5,0
74,108,2,19,0,10,24,0,0,16,0
84,89,3,20,0,2,7,10,0,1,0
88,82,3,21,0,3,7,7,0,3,0
92,88,2,22,0,4,42,2,0,12,0
98,85,2,23,0,7,12,0,0,41,0
92,71,3,24,0,0,21,18,0,1,0
87,76,3,25,0,0,14,0,0,6,0
94,79,3,26,0,4,25,11,0,0,0
57,83,3,27,0,1,16,0,0,3,0
51.39,87.445,3,28,0,3,26,31,0,0,0
55,76,2,29,0,1,51,4,0,4,0
61,71,3,30,0,0,11,1,0,8,0
68,65,3,31,0,0,10,10,0,0,0
86,65,3,33,0,0,10,9,0,1,0
70,59,3,34,0,0,3,17,0,0,0
77,59,3,35,0,4,12,1,0,3,0
85,60,2,36,0,1,8,0,0,11,0
84,72,3,37,0,0,12,4,0,4,0
61,64,2,39,0,2,15,3,0,0,0
54,55,3,40,0,2,26,1,0,31,0
59,58,3,41,0,1,16,0,0,3,0
60,52,3,42,0,0,1,0,0,19,0
96,68,3,43,0,0,16,4,0,0,0
98,73,3,44,0,0,17,3,0,0,0
105,71,2,45,0,0,3,0,0,17,0
63,46,3,46,0,0,0,0,0,20,0
69,48,2,47,0,10,4,1,0,5,0
75,54,3,48,0,0,8,12,0,0,0
85,53,2,49,0,1,3,0,0,16,0
75,48,3,50,0,2,6,12,0,0,0
74,42,3,51,0,3,33,4,0,0,0
65,55,3,52,0,0,17,1,0,2,0
67,41,3,53,0,0,17,3,0,0,0
73,36,3,54,0,0,13,6,0,1,0
83,39,3,55,0,0,12,1,0,7,0
90,39,3,56,0,1,16,0,0,3,0
86,47,3,57,0,2,15,2,0,1,0
81.021,43.641,3,58,0,0,4,16,0,0,0
52,29,3,59,0,2,17,1,0,0,0
49,35,2,60,0,17,3,0,0,0,0
49,50,3,61,0,3,21,4,0,12,0
49,41,3,62,0,3,13,0,0,4,0
59,38,3,64,0,3,15,2,0,0,0
51,96,3,65,0,2,16,1,0,1,0
47,91,3,66,0,6,13,1,0,0,0
48,105,2,67,0,0,10,0,0,10,0
49,82,3,68,0,4,12,4,0,0,0
40,116,2,69,0,1,13,0,0,6,0
32,106,3,70,0,9,10,1,0,0,0
34,112,2,71,0,10,29,0,0,1,0
41,93,3,73,0,3,22,6,0,9,0
38,106,3,74,0,1,11,0,0,8,0
64,105,2,76,0,3,10,0,0,7,0
62,113,3,77,0,1,17,1,0,1,0
61,120,3,78,0,1,16,0,0,3,0
68,123,2,79,0,0,17,2,0,1,0
58,106,3,80,0,2,16,2,0,0,0
54,116,3,81,0,0,14,1,0,5,0
32,91,3,82,0,2,30,8,0,0,0
43,79,2,83,0,3,3,0,0,14,0
46,57,2,84,0,1,15,1,0,23,0
47,66,3,85,0,0,15,5,0,0,0
51,70,3,86,0,1,17,2,0,0,0
109,120,3,87,0,0,14,6,0,0,0
105,115,3,88,0,2,34,3,0,1,0
100,109,2,89,0,2,15,0,0,3,0
109,105,3,90,0,8,11,1,0,0,0
110,111,2,91,0,1,5,14,0,0,0
103,103,3,93,0,9,9,2,0,0,0
111,75,2,97,0,1,11,8,0,0,0
109,93,3,105,0,1,13,6,0,0,0
117,96,3,107,0,10,4,6,0,0,0
120,90,3,108,0,2,8,10,0,0,0
117,84,3,109,0,9,7,4,0,0,0
111,82,3,110,0,3,11,3,0,3,0
105,78,2,111,0,4,20,1,0,15,0
97,98,2,112,0,2,8,0,0,10,0
91,94,3,113,0,2,12,5,0,1,0
98,92,2,114,0,0,12,0,0,8,0
105,87,3,115,0,0,7,13,0,0,0
81,115,2,116,0,0,18,0,0,32,0
67,115,3,117,0,0,25,0,0,5,0
72,119,2,118,0,0,26,1,0,3,0
79,122,3,119,0,0,2,28,0,0,0
88,113,2,120,0,0,13,0,0,27,0
89,108,3,121,0,5,11,3,0,1,0
90,131,3,126,0,4,14,2,0,0,0
94,118,2,127,0,0,32,0,0,8,0
84,120,3,129,0,0,5,15,0,0,0
99,127,2,131,0,8,30,0,0,2,0
92,140,2,132,0,2,13,5,0,0,0
105,132,3,135,0,1,31,0,0,8,0
110,128,3,136,0,5,34,1,0,0,0
110,135,3,137,0,0,9,11,0,0,0
95,125,3,138,0,0,17,2,0,1,0
58,93,2,139,0,1,18,0,0,1,0
38,87,2,141,0,3,15,1,0,1,0
29,97,3,142,0,5,12,0,0,3,0
46,112,3,143,0,0,12,7,0,1,0
54,103,3,144,0,1,17,2,0,0,0
52,111,3,145,0,0,17,0,0,3,0
49,76,3,146,0,0,12,8,0,0,0
28,85,3,149,0,0,10,10,0,0,0
116,129,2,151,0,0,18,1,0,1,0
96,105,2,152,0,1,15,0,0,4,0
104,97,3,153,0,0,15,5,0,0,0
96,133,2,154,0,0,1,0,0,19,0
35,126,3,155,0,2,13,4,0,1,0
33,120,3,156,0,9,9,2,0,0,0
27,116,3,157,0,3,13,0,0,4,0
20,122,2,158,0,1,15,4,0,0,0
21,116,2,159,0,0,13,0,0,7,0
41,122,3,161,0,0,8,12,0,0,0
48,125,3,163,0,0,5,15,0,0,0
47,118,3,164,0,1,19,0,0,0,0
55,125,2,165,0,0,18,0,0,2,0
42,51,2,166,0,1,15,4,0,0,0
44,45,3,167,0,0,3,17,0,0,0
40,40,2,168,0,1,19,0,0,0,0
35,35,2,169,0,0,11,0,0,9,0
42.385,32.248,3,170,0,5,1,0,0,14,0
41,27,2,171,0,0,3,0,0,17,0
33,27,2,172,0,3,9,0,0,8,0
28,29,2,173,0,3,13,3,0,1,0
29,21,2,174,0,0,20,0,0,0,0
22,33,3,175,0,3,16,0,0,1,0
21,26,3,176,0,6,4,10,0,0,0
21,39,2,177,0,0,15,5,0,0,0
15,35,2,178,0,0,19,0,0,1,0
14,27,3,179,0,0,0,0,0,20,0
17,20,3,180,0,0,18,0,0,2,0